!Women Art Revolution (2010)   3 stars, 1hr 22m  imdbClosed Captions: English
#1 Cheerleader Camp (2010)   3 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Pony Excess (2010)   4 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Renée (2011)   2.9 stars, 1hr 18m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Roll Tide / War Eagle (2011)   3.9 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Run Ricky Run (2010)   3.9 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Silly Little Game (2010)   3.4 stars, 52m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Small Potatoes: Who Killed the USFL? (2009)   3.7 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The 16th Man (2010)   3.8 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The Band That Wouldn't Die (2009)   3.4 stars, 54m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The Best That Never Was (2010)   4 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The Birth of Big Air (2010)   4 stars, 54m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The Dotted Line (2011)   3.6 stars, 56m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The House of Steinbrenner (2010)   3.4 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The Real Rocky (2011)   3.8 stars, 57m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The Two Escobars (2010)   4.2 stars, 1hr 45m  imdbClosed Captions: English Available in HD on your TV
30 for 30: The U (2010)   4.1 stars, 1hr 43m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Tim Richmond: To The Limit (2010)   3.6 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Unguarded (2011)   4.2 stars, 1hr 20m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Unmatched (2010)   3.2 stars, 53m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Winning Time: Reggie Miller vs. The New York Knicks (2010)   4.2 stars, 1hr 10m  imdbClosed Captions: English Available in HD on your TV
30 for 30: Without Bias (2009)   3.9 stars, 52m  imdbClosed Captions: English Available in HD on your TV
30 Rock (2006-2012)   3.9 stars, 6 Seasons  imdbClosed Captions: English Available in HD on your TV
32 Short Films About Glenn Gould (1993)   3.6 stars, 1hr 33m  imdb
35 and Ticking (2011)   3.9 stars, 1hr 48m  imdbClosed Captions: English Available in HD on your TV
35 Up (1991)   4 stars, 1hr 55m  imdbClosed Captions: English
3D Dive (2011)   , 3 Episodes  imdbAvailable in HD on your TV
3D Safari (2011)   3 stars, 13 Episodes  imdbAvailable in HD on your TV
4 (2005)   2.7 stars, 2hr 5m  imdbClosed Captions: English
4:20 Hour Stand-Up (2009)   3.3 stars, 53m  imdbClosed Captions: English
4 Life (2007)   3.4 stars, 1hr 19m  imdbClosed Captions: English
4 Months, 3 Weeks and 2 Days (2007)   3.4 stars, 1hr 53m  imdbClosed Captions: English Available in HD on your TV
4.3.2.1 (2010)   2.8 stars, 1hr 56m  imdbClosed Captions: English Available in HD on your TV
40 Minutes of Hell (2012)   3.7 stars, 48m  imdbClosed Captions: English Available in HD on your TV
400 Years of the Telescope (2009)   3.9 stars, 56m  imdb
42 Up (1998)   3.8 stars, 2hr 13m  imdbClosed Captions: English
44 Inch Chest (2009)   2.9 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
48 Angels (2006)   2.9 stars, 1hr 31m  imdb
49 Days (2006)   2.8 stars, 1hr 31m  imdbClosed Captions: English
49 Up (2005)   3.7 stars, 2hr 15m  imdb
4th and Goal (2010)   3.6 stars, 1hr 31m  imdbClosed Captions: English
5, 6, 7, 8 (2009)   2.4 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
5 Sides of a Coin (2003)   3.2 stars, 1hr 9m  imdbClosed Captions: English
5 Star Day (2010)   3.2 stars, 1hr 37m  imdbAvailable in HD on your TV
50 Dead Men Walking (2008)   3.4 stars, 1hr 57m  imdbClosed Captions: English Available in HD on your TV
500 Years Later (2005)   3.7 stars, 1hr 48m  imdbClosed Captions: English
54 (1998)   3.2 stars, 1hr 32m  imdbAvailable in HD on your TV
58: The Film (2011)   , 1hr 12m  imdbAvailable in HD on your TV
588 Rue Paradis (1992)   3.7 stars, 2hr 5m  imdbClosed Captions: English
5ive Girls (2006)   3.1 stars, 1hr 36m  imdbClosed Captions: English
60 Spins Around the Sun (2003)   3.1 stars, 58m  imdb
633 Squadron (1964)   3.5 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
666: The Beast (2007)   2.7 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
666: The Child (2006)   2.9 stars, 1hr 19m  imdbClosed Captions: English Available in HD on your TV
666 Revealed (2006)   2.6 stars, 1hr  imdbClosed Captions: English
6Teen (2004-2005)   4.1 stars, 5 Seasons  imdb
6Teen: Dude of the Living Dead (2005)   3.8 stars, 45m  imdbClosed Captions: English
6teen: Snow Job (2004)   4 stars, 45m  imdb
7 Days in September (2004)   3.7 stars, 1hr 34m  imdbClosed Captions: English
7 Dwarves (2004)   3 stars, 1hr 30m  imdbClosed Captions: English
7 Khoon Maaf (2011)   3.1 stars, 2hr 28m  imdbClosed Captions: English Available in HD on your TV
8:46 (2011)   3.3 stars, 55m  imdbClosed Captions: English Available in HD on your TV
8 1/2 (1963)   3.8 stars, 2hr 18m  imdbClosed Captions: English
8 Seconds (1994)   3.8 stars, 1hr 44m  imdbClosed Captions: English Available in HD on your TV
80 Meters Below the Summit (1997)   2.8 stars, 54m  imdbClosed Captions: English
80 Minutes (2008)   2.8 stars, 1hr 32m  imdb
8000 Miles 2: Girls Rapper (2010)   2 stars, 1hr 37m  imdbClosed Captions: English
8213: Gacy House (2010)   2.8 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
8MM (1999)   3.4 stars, 2hr 3m  imdbClosed Captions: English Available in HD on your TV
9 1/2 Ninjas (1991)   1.9 stars, 1hr 27m  imdbClosed Captions: English
9 1/2 Weeks (1986)   3.1 stars, 1hr 56m  imdbClosed Captions: English
90210 (2008-2011)   3.8 stars, 4 Seasons  imdbClosed Captions: English Available in HD on your TV
911: In Plane Site (2007)   3.6 stars, 1hr 12m  imdbClosed Captions: English
95 Miles to Go (2004)   2.7 stars, 1hr 17m  imdb
976-Evil 2 (1992)   2.8 stars, 1hr 30m  imdbClosed Captions: English
99 River Street (1953)   3.4 stars, 1hr 23m  imdbClosed Captions: English
9th Company (2005)   3.7 stars, 2hr 20m  imdbClosed Captions: English
A/k/a Tommy Chong (2006)   3.9 stars, 1hr 23m  imdbClosed Captions: English
A Beautiful Life (2011)   3.8 stars, 2hr 2m  imdbClosed Captions: English Available in HD on your TV
A Better Tomorrow (2010)   3.6 stars, 2hr 3m  imdbClosed Captions: English Available in HD on your TV
A Bigger Splash (1974)   2.4 stars, 1hr 44m  imdbClosed Captions: English
A Borrowed Life (2011)   3.5 stars, 1hr 30m  imdbClosed Captions: English
A Boy and His Dog (1975)   3.1 stars, 1hr 30m  imdbClosed Captions: English
A Bronx Tale (1993)   4 stars, 2hr 1m  imdbClosed Captions: English Available in HD on your TV
A Brooklyn State of Mind (1998)   3.3 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
A Bullet for Joey (1955)   3.2 stars, 1hr 27m  imdbClosed Captions: English Available in HD on your TV
A Bullet for Pretty Boy (1970)   3.1 stars, 1hr 28m  imdbClosed Captions: English
A Call Girl (2009)   2.7 stars, 1hr 31m  imdbClosed Captions: English
A Canterbury Tale (1949)   3.2 stars, 2hr 4m  imdb
A Cemetery Special (2005)   3.4 stars, 56m  imdb
A Child Called Jesus (1987)   3.7 stars, 2 Episodes  imdbClosed Captions: English
A Child Is Waiting (1963)   3.4 stars, 1hr 44m  imdbClosed Captions: English
A Chorus of Disapproval (1989)   , 1hr 35m  imdbClosed Captions: English
A Christmas Memory (1997)   3.7 stars, 1hr 32m  imdbClosed Captions: English
A Cold Wind in August (1961)   2.1 stars, 1hr 19m  imdbClosed Captions: English
A Complete History of My Sexual Failures (2008)   3.1 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
A Crude Awakening: The Oil Crash (2006)   3.7 stars, 1hr 22m  imdbClosed Captions: English
A Cry for Love (1980)   2.7 stars, 1hr 38m  imdbClosed Captions: English
A Dance to the Music of Time (1997)   3.3 stars, 4 Episodes  imdbClosed Captions: English
A Darker Reality (2008)   3 stars, 1hr 27m  imdbClosed Captions: English Available in HD on your TV
A Dead Calling (2006)   2.9 stars, 1hr 30m  imdbClosed Captions: English Available in HD on your TV
A Demon in My View (1991)   2.4 stars, 1hr 52m  imdbClosed Captions: English
A Different Loyalty (2004)   3 stars, 1hr 44m  imdbClosed Captions: English Available in HD on your TV
A Dinner of Herbs (2000)   3.7 stars, 6 Episodes  imdbClosed Captions: English
A Dirty Shame (2004)   2.7 stars, 1hr 28m  imdbClosed Captions: English Available in HD on your TV
A Doll's House (1973)   3.2 stars, 1hr 35m  imdbClosed Captions: English
A Farewell to Arms (1932)   3.2 stars, 1hr 29m  imdbClosed Captions: English
A Father's Choice (2000)   4 stars, 1hr 28m  imdbClosed Captions: English
A Feast at Midnight (1994)   3.5 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
A Film Unfinished (2010)   3.6 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
A Fish Called Wanda (1988)   3.7 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
A Fork in the Road (2009)   3.4 stars, 1hr 44m  imdbAvailable in HD on your TV
A French Gigolo (2008)   3.1 stars, 1hr 44m  imdbClosed Captions: English Available in HD on your TV
A Game of Death (1945)   2.9 stars, 1hr 12m  imdbClosed Captions: English
A Get2Gether (2005)   3.2 stars, 1hr 38m  imdb
A Gifted Man (2012)   3.7 stars, 1 Season  imdbClosed Captions: English Available in HD on your TV
A Girl Named Tamiko (1962)   2.8 stars, 1hr 50m  imdbClosed Captions: English
A Golden Christmas (2010)   3.8 stars, 1hr 29m  imdb [Closed Captions: <a href=] English" alt="Closed Captions: English" id="BLOGGER_PHOTO_ID_5773674322639309762" />
A Golden Christmas 2: The Second Tail (2011)   3.8 stars, 1hr 27m  imdbClosed Captions: English
A Good Day to Be Black & Sexy (2007)   2.5 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
A Good Old Fashioned Orgy (2011)   3.4 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
A Good Woman (2004)   3.4 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
A Great Wall (1986)   3 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
A Greater Yes: The Story of Amy Newhouse (2009)   4.1 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
A Green Journey (1990)   3.6 stars, 1hr 35m  imdbClosed Captions: English Available in HD on your TV
A Haunting in Salem (2011)   3 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
A Heavenly Vintage (2009)   3 stars, 2hr 6m  imdbClosed Captions: English Available in HD on your TV
A Home at the End of the World (2004)   3.3 stars, 1hr 36m  imdbClosed Captions: English Available in HD on your TV
A Home of Our Own (1993)   3.7 stars, 1hr 44m  imdbClosed Captions: English
A Horrible Way to Die (2010)   2.8 stars, 1hr 27m  imdbAvailable in HD on your TV
A Jihad for Love (2007)   3.2 stars, 1hr 20m  imdbClosed Captions: English
A Kiss Before Dying (1956)   3.1 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
A Knight's Tale (2001)   3.8 stars, 2hr 12m  imdbClosed Captions: English Available in HD on your TV
A League of Their Own (1992)   3.7 stars, 2hr 7m  imdbClosed Captions: English Available in HD on your TV
A Life Among Whales (2005)   3.9 stars, 56m  imdbClosed Captions: English
A Life Apart: Hasidism in America (1997)   3.5 stars, 1hr 35m  imdbClosed Captions: English
A Little Bit of Heaven (2011)   3.9 stars, 1hr 46m  imdbClosed Captions: English Available in HD on your TV
A Little Help (2010)   3 stars, 1hr 48m  imdbClosed Captions: English Available in HD on your TV
A Little Pond (2009)   2.9 stars, 1hr 29m  imdbClosed Captions: English
A Little Princess (1995)   4 stars, 1hr 37m  imdbClosed Captions: English Available in HD on your TV
A Love Affair: The Eleanor and Lou Gehrig Story (1978)   3.5 stars, 1hr 37m  imdbClosed Captions: English
A Lure (2010)   3.1 stars, 1hr 32m  imdbClosed Captions: English Available in HD on your TV
A Man Called Sarge (1990)   2.8 stars, 1hr 28m  imdbClosed Captions: English
A Man in Love (1987)   2.5 stars, 1hr 51m  imdbClosed Captions: English
A Man Named Pearl (2006)   3.9 stars, 1hr 17m  imdbClosed Captions: English
A Man of Passion (1989)   2.6 stars, 1hr 35m  imdbClosed Captions: English
A Marine Story (2010)   3.5 stars, 1hr 35m  imdb
A Matador's Mistress (2008)   3.2 stars, 1hr 33m  imdbClosed Captions: English Available in HD on your TV
A Matter of Sex (1984)   3.4 stars, 1hr 36m  imdbClosed Captions: English
A Matter of Taste: Serving Up Paul Liebrandt (2010)   3.6 stars, 1hr 8m  imdbAvailable in HD on your TV
A Miami Tail (2003)   3.1 stars, 1hr 23m  imdbClosed Captions: English
A Midsummer Night's Dream (1996)   3 stars, 1hr 43m  imdbAvailable in HD on your TV
A Midsummer Night's Dream (1968)   3.1 stars, 1hr 59m  imdbAvailable in HD on your TV
A Mighty Heart (2007)   3.3 stars, 1hr 47m  imdbClosed Captions: English Available in HD on your TV
A Mile in His Shoes (2011)   4 stars, 1hr 29m  imdbClosed Captions: English Available in HD on your TV
A Model for Matisse (2005)   3.7 stars, 1hr 6m  imdbClosed Captions: English
A Moment to Remember (2004)   4.1 stars, 2hr 24m  imdbClosed Captions: English Available in HD on your TV
A Month by the Lake (1995)   3.2 stars, 1hr 31m  imdbClosed Captions: English Available in HD on your TV
A Mother's Love (2011)   3.7 stars, 1hr 44m  imdbClosed Captions: English Available in HD on your TV
A Murder of Crows (1999)   3.5 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
A New Life (1988)   3.2 stars, 1hr 43m  imdbClosed Captions: English
A New York Thing (2009)   2.4 stars, 1hr 25m  imdbAvailable in HD on your TV
A Night at the Roxbury (1998)   3.4 stars, 1hr 21m  imdbClosed Captions: English Available in HD on your TV
A Night in Casablanca (1946)   3.7 stars, 1hr 24m  imdbClosed Captions: English Available in HD on your TV
A NORML Life (2011)   3.9 stars, 59m  imdbClosed Captions: English Available in HD on your TV
A Novel Romance (2011)   , 1hr 31m  imdbAvailable in HD on your TV
A Panther in Africa: POV (2004)   3.5 stars, 1hr 10m  imdb
A Paralyzing Fear: The Story of Polio in America (1998)   3.8 stars, 1hr 29m  imdbClosed Captions: English
A Peck on the Cheek (2002)   3.8 stars, 2hr 16m  imdbClosed Captions: English
A Perfect Candidate (1996)   3.3 stars, 1hr 45m  imdbClosed Captions: English
A Perfect Day (2006)   3.3 stars, 1hr 30m  imdbClosed Captions: English Available in HD on your TV
A Place Called Home (2004)   3.8 stars, 1hr 28m  imdbClosed Captions: English
A Place of One's Own (1945)   3.3 stars, 1hr 32m  imdbClosed Captions: English
A Place Out of Time: The Bordentown School (2010)   3.5 stars, 56m  imdb
A Program About Unusual Buildings & Other Roadside Stuff (2004)   3.4 stars, 56m  imdb
A Rage to Live (1965)   3.2 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
A Red Bear (2004)   3.3 stars, 1hr 31m  imdbClosed Captions: English
A Ripple of Hope (2010)   3.9 stars, 54m  imdb
A River of Waste: The Hazardous Truth About Factory Farms (2009)   3.5 stars, 1hr 31m  imdbClosed Captions: English
A Room for Romeo Brass (1999)   , 1hr 30m  imdb
A Room with a View (1986)   3.5 stars, 1hr 56m  imdbClosed Captions: English Available in HD on your TV
A Screaming Man (2010)   2.9 stars, 1hr 31m  imdbClosed Captions: English
A Second Knock at the Door (2012)   , 1hr 31m  imdbClosed Captions: English
A Secret (2007)   3.5 stars, 1hr 42m  imdbClosed Captions: English
A Secret Affair (1999)   3.5 stars, 1hr 28m  imdbClosed Captions: English
A Shine of Rainbows (2009)   3.8 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
A Short Stay in Switzerland (2009)   , 1hr 29m  imdbClosed Captions: English
A Shot in the Dark (1964)   3.7 stars, 1hr 42m  imdbClosed Captions: English Available in HD on your TV
A Simple Curve (2005)   3.2 stars, 1hr 31m  imdb
A Siren in the Dark (2008)   2.3 stars, 1hr 19m  imdbClosed Captions: English
A Small Act (2009)   3.5 stars, 1hr 27m  imdb
A Small Circle of Friends (1980)   2.8 stars, 1hr 52m  imdbClosed Captions: English
A Snowmobile for George (2008)   , 1hr 34m  imdbClosed Captions: English
A Song for Martin (2001)   3.6 stars, 1hr 53m  imdbClosed Captions: English
A State of Mind (2004)   3.8 stars, 1hr 30m  imdbClosed Captions: English
A Stoning in Fulham County (1988)   3.8 stars, 1hr 34m  imdbClosed Captions: English
A Story of David (1960)   3.6 stars, 1hr 39m  imdbClosed Captions: English
A Tale of Springtime (1990)   2.9 stars, 1hr 47m  imdbClosed Captions: English
A Tale of Two Sisters (2004)   3.5 stars, 1hr 49m  imdbClosed Captions: English
A Talent for Loving (1969)   2.7 stars, 1hr 41m  imdbClosed Captions: English
A Technicolor Dream (2008)   3.2 stars, 1hr 30m  imdbClosed Captions: English
A Thousand Years of Good Prayers (2007)   3.1 stars, 1hr 23m  imdbClosed Captions: English Available in HD on your TV
A Tickle in the Heart (1997)   3 stars, 1hr 23m  imdbClosed Captions: English
A Time for Drunken Horses (2000)   3.5 stars, 1hr 18m  imdbClosed Captions: English
A Touch of Frost (1992-2010)   3.9 stars, 15 Seasons  imdbClosed Captions: English
A Touch of Greatness (2004)   3.9 stars, 53m  imdbClosed Captions: English
A Touch of Larceny (1959)   3.3 stars, 1hr 31m  imdbClosed Captions: English
A Town Called Panic (2009)   3.5 stars, 1hr 14m  imdbClosed Captions: English
A Town Like Alice (1956)   3.7 stars, 1hr 56m  imdbClosed Captions: English
A Tragedy at Midnight (1942)   3.4 stars, 53m  imdbClosed Captions: English
A Tribute to Edith Piaf: Live at Montreux (2004)   , 1hr 19m  imdbClosed Captions: English
A Turtle's Tale: Sammy's Adventures (2010)   3.9 stars, 1hr 25m  imdbClosed Captions: English Available in HD on your TV
A Very Barry Christmas (2005)   3.1 stars, 44m  imdbClosed Captions: English
A Very British Gangster (2007)   3.1 stars, 1hr 41m  imdbClosed Captions: English Available in HD on your TV
A Very Long Engagement (2004)   3.6 stars, 2hr 13m  imdbClosed Captions: English Available in HD on your TV
A Walk into the Sea: Danny Williams and the Warhol Factory (2006)   3.1 stars, 1hr 17m  imdbClosed Captions: English
A Walk to Beautiful (2007)   4.1 stars, 52m  imdb
A Warrior's Heart (2011)   3.7 stars, 1hr 34m  imdbClosed Captions: English Available in HD on your TV
